央视,#genre#
西安综合,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001720/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安城市,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001595/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安资讯,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001732/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安影视,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001769/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安丝路,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001779/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安教育,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001789/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
商洛电视,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001734/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
山阳影视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225951/index.m3u8
山阳新闻,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225950/index.m3u8
商州融媒,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225875/index.m3u8
洛南电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225949/index.m3u8
丹凤电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225952/index.m3u8
镇安综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225876/index.m3u8
商南电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225953/index.m3u8
柞水电视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225877/index.m3u8
